lat,lng,pop
43.125832,5.930556,1
43.296398,5.37,1
43.838001,4.361,1
43.949318,4.805528,1
43.677622,4.630965,1
43.675819,7.289429,1
43.526302,5.445429,1
43.026398,6.155748,1
43.000244,6.202297,1
43.137825,5.983465,1
43.100771,5.878895,1
43.5513,7.0128,1
43.272719,6.640523,1
43.6119,3.8772,1
43.6045,1.444,1
43.213036,2.349107,1
43.299999,-0.37,1
43.09409,-0.046497,1
43.483252,-1.559278,1
43.493338,-1.475099,1
44.20198,-1.230928,1
44.872794,-1.092716,1
45.00148,-1.196284,1
44.653943,-1.175571,1
44.630889,-1.249812,1
44.589161,-1.214105,1
44.8441694,-0.5768709,1
44.893145,-0.156066,1
45.693165,-0.325017,1
46.1591,-1.1517,1
45.746066,-0.630067,1
45.8353,1.2625,1
45.925486,-1.291994,1
46.580002,0.34,1
47.473614,-0.554167,1
47.218102,-1.5528,1
47.259622,-0.078518,1
48.1147,-1.6794,1
48.864716,2.349014,1
48.801407,2.130122,1
45.76342,4.834277,1
44.561203,6.082064,1
44.477936,5.783764,1
44.534901,5.824472,1
44.424677,5.71844,1
44.196347,5.944379,1
44.564176,6.495819,1
41.926701,8.7369,1
42.697285,9.450881,1
41.387826,9.160618,1
42.811,9.488517,1
41.744404,8.870937,1
43.322422,-1.983889,1
43.263002,-2.935004,1
43.462041,-3.809972,1
43.360598,-5.844899,1
42.880422,-8.545861,1
41.390205,2.154007,1
42.266631,2.963843,1
28.96302,-13.54769,1
29.0667,-13.6222,1
29.14553,-13.49986,1
29.022368,-13.792993,1
45.437191,12.33459,1
41.89332,12.482932,1
40.749127,14.500642,1
40.835934,14.248783,1
41.903491,12.452835,1
43.732349,7.427683,1
46.201756,6.146601,1
50.846557,4.351697,1
50.781184,4.245219,1
52.37276,4.893604,1
53.349765,-6.260273,1
51.509865,-0.118092,1
51.454514,-2.58791,1
51.380001,-2.36,1
50.716667,-3.533333,1
50.376289,-4.143841,1
50.214906,-5.479508,1
51.480688,-2.776856,1
51.672613,-4.705044,1
51.752022,-1.257677,1
52.489471,-1.898575,1
52.408054,-1.510556,1
51.421378,-2.119209,1
53.958332,-1.080278,1
55.953251,-3.188267,1
56.156196,-4.65621,1
59.325117,18.071094,1
31.628674,-7.992047,1
30.545008,-9.708638,1
30.427755,-9.598107,1
28.613895,77.209006,1
27.175255,78.009816,1
26.915458,75.818982,1
26.296772,73.035143,1
24.578721,73.686257,1
27.028016,70.778506,1
40.712728,-74.006015,1
37.779026,-122.419906,1
37.899731,-122.279121,1
37.336191,-121.890583,1
21.02945,105.854444,1
20.952837,107.08,1
16.463801,107.582191,1
16.068,108.212,1
15.879814,108.327394,1
10.775844,106.701756,1
10.215309,103.988044,1
